episode,training_return,training_steps,epsilon,eval_mean_return,eval_mean_steps,eval_success_rate
1,-216.0,100,1.0,-480.0,100.0,0.0
2,-84.0,60,0.995,,,
3,-79.0,79,0.990025,,,
4,-210.0,100,0.985074875,,,
5,-240.0,100,0.9801495006250001,,,
6,-318.0,100,0.9752487531218751,,,
7,-252.0,100,0.9703725093562657,,,
8,-119.0,67,0.9655206468094844,,,
9,-76.0,88,0.960693043575437,,,
10,-172.0,100,0.9558895783575597,,,
11,-286.0,100,0.9511101304657719,,,
12,-181.0,85,0.946354579813443,,,
13,-115.0,81,0.9416228069143757,,,
14,-222.0,100,0.9369146928798039,,,
15,35.0,21,0.9322301194154049,,,
16,-17.0,45,0.9275689688183278,,,
17,-300.0,100,0.9229311239742362,,,
18,-246.0,86,0.918316468354365,,,
19,-38.0,50,0.9137248860125932,,,
20,-2.0,38,0.9091562615825302,,,
21,-232.0,100,0.9046104802746175,,,
22,-154.0,98,0.9000874278732445,,,
23,-135.0,99,0.8955869907338783,,,
24,-210.0,100,0.8911090557802088,,,
25,-208.0,100,0.8866535105013078,,,
26,-125.0,77,0.8822202429488013,,,
27,-160.0,100,0.8778091417340573,,,
28,-130.0,92,0.8734200960253871,,,
29,-5.0,37,0.8690529955452602,,,
30,-8.0,40,0.8647077305675338,,,
31,-234.0,80,0.8603841919146962,,,
32,-164.0,100,0.8560822709551227,,,
33,8.0,34,0.851801859600347,,,
34,-158.0,86,0.8475428503023453,,,
35,-142.0,78,0.8433051360508336,,,
36,-1.0,43,0.8390886103705794,,,
37,-174.0,100,0.8348931673187264,,,
38,-56.0,40,0.8307187014821328,,,
39,-80.0,58,0.8265651079747222,,,
40,13.0,31,0.8224322824348486,,,
41,-122.0,74,0.8183201210226743,,,
42,-115.0,59,0.8142285204175609,,,
43,-68.0,42,0.810157377815473,,,
44,-97.0,77,0.8061065909263957,,,
45,6.0,22,0.8020760579717637,,,
46,-176.0,100,0.798065677681905,,,
47,-89.0,59,0.7940753492934954,,,
48,-176.0,100,0.7901049725470279,,,
49,-15.0,33,0.7861544476842928,,,
50,-24.0,10,0.7822236754458713,50.0,10.0,1.0
51,19.0,27,0.778312557068642,,,
52,22.0,26,0.7744209942832988,,,
53,2.0,42,0.7705488893118823,,,
54,-22.0,46,0.7666961448653229,,,
55,-5.0,35,0.7628626641409962,,,
56,-51.0,57,0.7590483508202912,,,
57,-46.0,32,0.7552531090661897,,,
58,-171.0,81,0.7514768435208588,,,
59,0.0,36,0.7477194593032545,,,
60,24.0,28,0.7439808620067382,,,
61,38.0,14,0.7402609576967045,,,
62,-57.0,59,0.736559652908221,,,
63,5.0,39,0.7328768546436799,,,
64,-12.0,26,0.7292124703704616,,,
65,0.0,28,0.7255664080186093,,,
66,-38.0,62,0.7219385759785162,,,
67,-1.0,49,0.7183288830986236,,,
68,39.0,21,0.7147372386831305,,,
69,8.0,40,0.7111635524897149,,,
70,15.0,37,0.7076077347272662,,,
71,31.0,21,0.7040696960536299,,,
72,10.0,28,0.7005493475733617,,,
73,16.0,26,0.697046600835495,,,
74,-64.0,62,0.6935613678313175,,,
75,-35.0,49,0.6900935609921609,,,
76,22.0,26,0.6866430931872001,,,
77,20.0,22,0.6832098777212641,,,
78,-67.0,47,0.6797938283326578,,,
79,30.0,26,0.6763948591909945,,,
80,23.0,21,0.6730128848950395,,,
81,12.0,34,0.6696478204705644,,,
82,33.0,27,0.6662995813682115,,,
83,2.0,28,0.6629680834613705,,,
84,22.0,26,0.6596532430440636,,,
85,39.0,17,0.6563549768288433,,,
86,-46.0,46,0.653073201944699,,,
87,13.0,31,0.6498078359349755,,,
88,4.0,48,0.6465587967553006,,,
89,27.0,25,0.6433260027715241,,,
90,32.0,14,0.6401093727576664,,,
91,14.0,30,0.6369088258938781,,,
92,3.0,39,0.6337242817644086,,,
93,9.0,27,0.6305556603555866,,,
94,37.0,13,0.6274028820538087,,,
95,12.0,36,0.6242658676435396,,,
96,-40.0,48,0.6211445383053219,,,
97,13.0,25,0.6180388156137953,,,
98,-14.0,30,0.6149486215357263,,,
99,17.0,25,0.6118738784280476,,,
100,20.0,10,0.6088145090359074,50.0,10.0,1.0
101,8.0,28,0.6057704364907278,,,
102,39.0,17,0.6027415843082742,,,
103,9.0,19,0.5997278763867329,,,
104,23.0,15,0.5967292370047992,,,
105,30.0,26,0.5937455908197752,,,
106,13.0,27,0.5907768628656763,,,
107,14.0,24,0.5878229785513479,,,
108,-34.0,42,0.5848838636585911,,,
109,3.0,25,0.5819594443402982,,,
110,9.0,37,0.5790496471185967,,,
111,34.0,22,0.5761543988830038,,,
112,38.0,14,0.5732736268885887,,,
113,25.0,17,0.5704072587541458,,,
114,43.0,17,0.567555222460375,,,
115,6.0,28,0.5647174463480732,,,
116,-71.0,55,0.5618938591163328,,,
117,32.0,20,0.5590843898207511,,,
118,24.0,24,0.5562889678716474,,,
119,-34.0,36,0.5535075230322891,,,
120,39.0,17,0.5507399854171277,,,
121,17.0,25,0.547986285490042,,,
122,31.0,15,0.5452463540625918,,,
123,24.0,16,0.5425201222922789,,,
124,35.0,21,0.5398075216808175,,,
125,38.0,18,0.5371084840724134,,,
126,36.0,20,0.5344229416520513,,,
127,0.0,34,0.531750826943791,,,
128,39.0,17,0.5290920728090721,,,
129,45.0,11,0.5264466124450268,,,
130,22.0,24,0.5238143793828016,,,
131,44.0,16,0.5211953074858876,,,
132,36.0,16,0.5185893309484582,,,
133,16.0,16,0.5159963842937159,,,
134,42.0,14,0.5134164023722473,,,
135,44.0,12,0.510849320360386,,,
136,15.0,17,0.5082950737585841,,,
137,-1.0,31,0.5057535983897912,,,
138,37.0,15,0.5032248303978422,,,
139,18.0,18,0.500708706245853,,,
140,32.0,14,0.4982051627146237,,,
141,45.0,15,0.49571413690105054,,,
142,30.0,18,0.4932355662165453,,,
143,30.0,20,0.4907693883854626,,,
144,33.0,19,0.4883155414435353,,,
145,45.0,15,0.4858739637363176,,,
146,40.0,12,0.483444593917636,,,
147,41.0,15,0.4810273709480478,,,
148,39.0,13,0.47862223409330756,,,
149,45.0,15,0.47622912292284103,,,
150,24.0,10,0.4738479773082268,50.0,10.0,1.0
151,43.0,13,0.47147873742168567,,,
152,44.0,16,0.46912134373457726,,,
153,25.0,31,0.46677573701590436,,,
154,41.0,15,0.46444185833082485,,,
155,25.0,15,0.46211964903917074,,,
156,35.0,15,0.4598090507939749,,,
157,39.0,17,0.457510005540005,,,
158,35.0,17,0.45522245551230495,,,
159,16.0,28,0.4529463432347434,,,
160,30.0,18,0.4506816115185697,,,
161,32.0,24,0.4484282034609769,,,
162,20.0,20,0.446186062443672,,,
163,19.0,21,0.4439551321314536,,,
164,45.0,15,0.4417353564707963,,,
165,40.0,16,0.43952667968844233,,,
166,31.0,17,0.43732904629000013,,,
167,3.0,27,0.4351424010585501,,,
168,9.0,23,0.43296668905325736,,,
169,50.0,10,0.43080185560799106,,,
170,45.0,11,0.4286478463299511,,,
171,-18.0,22,0.42650460709830135,,,
172,32.0,24,0.42437208406280985,,,
173,30.0,18,0.4222502236424958,,,
174,43.0,13,0.42013897252428334,,,
175,43.0,13,0.4180382776616619,,,
176,33.0,23,0.4159480862733536,,,
177,39.0,17,0.41386834584198684,,,
178,46.0,14,0.4117990041127769,,,
179,16.0,30,0.40974000909221303,,,
180,41.0,19,0.40769130904675194,,,
181,38.0,18,0.40565285250151817,,,
182,34.0,16,0.4036245882390106,,,
183,37.0,19,0.4016064652978155,,,
184,45.0,15,0.3995984329713264,,,
185,41.0,15,0.3976004408064698,,,
186,39.0,17,0.39561243860243744,,,
187,39.0,21,0.3936343764094253,,,
188,50.0,10,0.39166620452737816,,,
189,43.0,13,0.3897078735047413,,,
190,25.0,17,0.3877593341372176,,,
191,44.0,12,0.3858205374665315,,,
192,24.0,22,0.38389143477919885,,,
193,42.0,14,0.3819719776053028,,,
194,40.0,12,0.3800621177172763,,,
195,19.0,17,0.37816180712868996,,,
196,46.0,14,0.37627099809304654,,,
197,40.0,20,0.3743896431025813,,,
198,45.0,15,0.37251769488706843,,,
199,24.0,18,0.3706551064126331,,,
200,41.0,10,0.36880183088056995,50.0,10.0,1.0
201,43.0,13,0.3669578217261671,,,
202,42.0,14,0.36512303261753626,,,
203,33.0,15,0.3632974174544486,,,
204,41.0,15,0.3614809303671764,,,
205,49.0,11,0.3596735257153405,,,
206,43.0,13,0.3578751580867638,,,
207,43.0,17,0.35608578229633,,,
208,28.0,14,0.3543053533848483,,,
209,38.0,14,0.35253382661792404,,,
210,49.0,11,0.3507711574848344,,,
211,49.0,11,0.34901730169741024,,,
212,49.0,11,0.3472722151889232,,,
213,50.0,10,0.3455358541129786,,,
214,48.0,12,0.3438081748424137,,,
215,12.0,18,0.3420891339682016,,,
216,13.0,19,0.3403786882983606,,,
217,48.0,12,0.3386767948568688,,,
218,44.0,12,0.33698341088258443,,,
219,31.0,25,0.3352984938281715,,,
