update,global_step,mean_training_return_last_20,mean_training_length_last_20,policy_loss,value_loss,entropy,total_loss,clip_fraction,eval_mean_return,eval_std_return,eval_min_return,eval_max_return,rolling_training_return,rolling_eval_return
1,1024,23.4,23.4,-0.00592265569139272,73.31186739603679,0.6924174676338831,36.64308738708496,0.0048828125,45.9,4.657252408878007,35.0,52.0,23.4,45.9
2,2048,26.05,26.05,-0.0029514708245793977,81.41206137339275,0.6895463317632675,40.69618352254232,0.0,,,,,24.725,45.9
3,3072,26.95,26.95,-0.0032823116440946856,70.70059410730998,0.6848422015706698,35.340166330337524,0.047526041666666664,,,,,25.46666666666667,45.9
4,4096,25.25,25.25,-0.0062899513480563956,64.12238804499309,0.6865801438689232,32.048038403193154,0.11149088541666667,,,,,25.4125,45.9
5,5120,24.2,24.2,7.800598784039418e-05,51.37480020523071,0.6858208601673444,25.680619557698567,0.0,,,,,25.169999999999998,45.9
6,6144,33.2,33.2,-0.006602920824661851,65.35916248957317,0.6877487550179163,32.66610097885132,0.10302734375,,,,,26.508333333333336,45.9
7,7168,25.85,25.85,-0.0031160565946872034,48.160648345947266,0.6847107335925102,24.070361057917278,0.043294270833333336,,,,,26.414285714285715,45.9
8,8192,24.05,24.05,-0.005744624805326263,39.209789752960205,0.6885145256916682,19.592264890670776,0.07340494791666667,,,,,26.11875,45.9
9,9216,24.8,24.8,-0.0039923042835046845,49.75512091318766,0.6773040741682053,24.86679490407308,0.03466796875,,,,,25.97222222222222,45.9
10,10240,24.6,24.6,-0.004137667206426461,52.234155813852944,0.6791839425762495,26.10614824295044,0.025390625,37.6,5.642694391866354,29.0,47.0,25.835,45.07
11,11264,29.6,29.6,-0.004126618732698262,57.877522468566895,0.6720526988307635,28.9279142220815,0.021809895833333332,,,,,26.177272727272726,44.39090909090909
12,12288,34.2,34.2,-0.0007774852371464173,63.74472204844157,0.6747829988598824,31.864835739135742,0.0003255208333333333,,,,,26.84583333333333,43.824999999999996
13,13312,32.55,32.55,-0.0055312827074279385,60.985130627950035,0.6680203825235367,30.480353752772015,0.05517578125,,,,,27.284615384615385,43.34615384615385
14,14336,35.9,35.9,-0.0069901997145886225,69.25940958658855,0.6506611456473669,34.61620783805847,0.11067708333333333,,,,,27.900000000000002,42.93571428571429
15,15360,33.05,33.05,-0.005000361842879404,69.23106829325359,0.6449318652351698,34.604084491729736,0.023111979166666668,,,,,28.243333333333332,42.580000000000005
16,16384,42.4,42.4,-0.0025121503664801517,80.93496926625569,0.647890088458856,40.45849339167277,0.01220703125,,,,,29.128125,42.26875
17,17408,35.45,35.45,-0.0024835735481853285,80.74275875091553,0.6472539578874906,40.362423261006676,0.06266276041666667,,,,,29.5,41.99411764705882
18,18432,45.55,45.55,-0.0014366344160710771,85.97957992553711,0.6500996475418409,42.981852213541664,0.0013020833333333333,,,,,30.391666666666666,41.75
19,19456,56.25,56.25,-0.0009952376130968332,96.48537890116374,0.6544001822670301,48.23515017827352,0.005045572916666667,,,,,31.752631578947366,41.53157894736842
20,20480,45.1,45.1,-0.0027077882356631258,91.44512748718262,0.6402287036180496,45.71345376968384,0.026041666666666668,119.2,20.063897926375123,99.0,163.0,32.42,45.415
21,21504,46.65,46.65,-0.005820637568831444,94.23949178059895,0.6232658723990122,47.1076922416687,0.10384114583333333,,,,,33.582499999999996,49.08
22,22528,69.05,69.05,0.003757341493231555,100.9936974843343,0.6439028307795525,50.49416716893514,0.005533854166666667,,,,,35.7325,52.745000000000005
23,23552,44.0,44.0,1.6625698966284592e-05,98.72804896036784,0.6352944597601891,49.35768795013428,0.020182291666666668,,,,,36.585,56.410000000000004
24,24576,66.65,66.65,-0.0030978776436919966,104.86989911397298,0.6420888726909956,52.42543077468872,0.012532552083333334,,,,,38.655,60.075
25,25600,72.55,72.55,0.0026706522330641747,104.21872742970784,0.6541513353586197,52.10549243291219,0.0026041666666666665,,,,,41.0725,63.739999999999995
26,26624,35.3,35.3,-0.0026247581699863076,111.54744211832683,0.595763735473156,55.765138467152916,0.12174479166666667,,,,,41.1775,67.405
27,27648,68.6,68.6,-0.0006496276085575422,110.75862725575765,0.5956650922695795,55.372707525889076,0.0003255208333333333,,,,,43.315,71.07000000000001
28,28672,106.75,106.75,0.002373252995312214,96.51129500071208,0.6185822064677874,48.25183502833048,0.0615234375,,,,,47.45,74.735
29,29696,74.75,74.75,-0.001038461613158385,107.41552066802979,0.6231322387854258,53.70049079259237,0.06510416666666667,,,,,49.947500000000005,78.4
30,30720,48.35,48.35,-0.006788648393315573,116.18305079142253,0.5895534306764603,58.078841050465904,0.19173177083333334,114.9,5.337602458033007,107.0,125.0,51.135,82.265
31,31744,66.75,66.75,-0.0005676340855037173,86.15844631195068,0.5722193270921707,43.07293367385864,0.008626302083333334,,,,,52.99249999999999,86.13000000000001
32,32768,86.3,86.3,0.0008278053719550371,97.0133883158366,0.6114252060651779,48.50140778223673,0.1435546875,,,,,55.59749999999999,89.99499999999999
33,33792,88.65,88.65,0.0038987916195765138,101.3545872370402,0.6243201717734337,50.67494932810465,0.039388020833333336,,,,,58.402499999999996,93.86
34,34816,74.6,74.6,-0.004314103086168568,103.94143295288086,0.6252544398109118,51.96015008290609,0.10921223958333333,,,,,60.3375,97.72500000000001
35,35840,65.5,65.5,-0.001066005090251565,110.00281842549641,0.6101938039064407,54.994241078694664,0.11653645833333333,,,,,61.959999999999994,101.59
36,36864,62.55,62.55,-0.010041324382958313,123.12780698140462,0.5877765590945879,61.54798460006714,0.040852864583333336,,,,,62.967499999999994,105.455
37,37888,85.35,85.35,0.001791077743594845,91.50714619954427,0.5961309721072515,45.74940315882365,0.010091145833333334,,,,,65.4625,109.32000000000001
38,38912,100.7,100.7,0.00434253391964982,103.8199291229248,0.628753162920475,51.90801922480265,0.0126953125,,,,,68.22,113.18500000000002
39,39936,93.75,93.75,-0.00514848658349365,124.15622965494792,0.6118913516402245,62.06684732437134,0.16569010416666666,,,,,70.095,117.05
40,40960,82.95,82.95,-0.00362079501307259,106.15886878967285,0.6104222312569618,53.06970945994059,0.0021158854166666665,308.1,96.00255204941169,203.0,500.0,71.9875,126.495
41,41984,85.6,85.6,0.0035105537390336394,110.93416627248128,0.622074027856191,55.46437279383341,0.06917317708333333,,,,,73.935,135.94
42,43008,100.85,100.85,-0.004440243433540066,118.93761761983235,0.6099233279625574,59.458268801371254,0.1259765625,,,,,75.525,145.38500000000002
43,44032,107.75,107.75,-0.003701683754722277,108.46967474619548,0.5945142507553101,54.225190003712974,0.22216796875,,,,,78.7125,154.83
44,45056,80.15,80.15,-0.007040058883527915,144.82981618245444,0.5908319602409998,72.40195926030476,0.19596354166666666,,,,,79.3875,164.275
